# time       Tpb[ms]      <Lnu_e>     <Lnu_ae>      <Lnu_x>    Lnu_e@000   Lnu_ae@000    Lnu_x@000    Lnu_e@045   Lnu_ae@045    Lnu_x@045    Lnu_e@090   Lnu_ae@090    Lnu_x@090    Lnu_e@135   Lnu_ae@135    Lnu_x@135    Lnu_e@180   Lnu_ae@180    Lnu_x@180      <Enu_e>     <Enu_ae>      <Enu_x>    Enu_e@000   Enu_ae@000    Enu_x@000    Enu_e@045   Enu_ae@045    Enu_x@045    Enu_e@090   Enu_ae@090    Enu_x@090    Enu_e@135   Enu_ae@135    Enu_x@135    Enu_e@180   Enu_ae@180    Enu_x@180
000270  -6.55630E-01  1.03987E+02  8.67249E-05  2.21079E-05  1.04381E+02  8.71250E-05  2.18119E-05  1.03964E+02  8.72014E-05  2.19318E-05  1.04084E+02  8.63169E-05  2.23668E-05  1.04561E+02  8.51452E-05  2.21229E-05  1.04873E+02  8.60469E-05  2.19602E-05  8.59854E+00  4.65168E+00  4.08335E+00  8.60172E+00  4.65337E+00  4.05046E+00  8.61437E+00  4.63829E+00  4.07535E+00  8.62067E+00  4.69139E+00  4.06811E+00  8.60933E+00  4.69958E+00  4.06776E+00  8.59614E+00  4.62927E+00  4.07804E+00
000272  -2.55560E-01  1.04859E+02  8.69787E-05  3.98345E-05  1.04721E+02  8.72754E-05  3.86911E-05  1.05081E+02  8.59072E-05  3.83713E-05  1.05110E+02  8.55768E-05  3.93540E-05  1.04393E+02  8.65459E-05  3.92625E-05  1.04279E+02  8.66068E-05  3.90331E-05  8.77648E+00  4.63449E+00  3.88619E+00  8.77706E+00  4.64085E+00  3.87497E+00  8.76509E+00  4.64719E+00  3.87613E+00  8.75551E+00  4.64360E+00  3.88071E+00  8.78843E+00  4.63960E+00  3.87444E+00  8.82394E+00  4.64305E+00  3.87490E+00
000274   1.44500E-01  1.09642E+02  8.88564E-05  1.10475E-04  1.07704E+02  8.99682E-05  1.07405E-04  1.10142E+02  8.93613E-05  1.09403E-04  1.11185E+02  8.89936E-05  1.11087E-04  1.08486E+02  8.85174E-05  1.10490E-04  1.05872E+02  8.88330E-05  1.08530E-04  8.96210E+00  4.63887E+00  3.84612E+00  8.95426E+00  4.63658E+00  3.84783E+00  8.94495E+00  4.62819E+00  3.85505E+00  8.94990E+00  4.63046E+00  3.85503E+00  8.97105E+00  4.63251E+00  3.84685E+00  8.99738E+00  4.63711E+00  3.84222E+00
000276   5.44700E-01  1.08254E+02  8.01358E-05  5.75257E-04  1.04979E+02  7.92054E-05  5.66775E-04  1.06375E+02  8.01814E-05  5.74122E-04  1.08614E+02  8.05147E-05  5.78193E-04  1.08088E+02  8.05931E-05  5.74753E-04  1.07341E+02  8.12133E-05  5.65725E-04  9.24034E+00  4.65843E+00  4.02784E+00  9.23651E+00  4.64389E+00  4.03276E+00  9.21534E+00  4.64734E+00  4.02933E+00  9.23013E+00  4.64604E+00  4.02623E+00  9.23701E+00  4.64632E+00  4.02791E+00  9.23923E+00  4.65521E+00  4.03411E+00
000278   9.44900E-01  1.11537E+02  7.14589E-05  9.67991E-03  1.07226E+02  7.21591E-05  9.71780E-03  1.11009E+02  7.22097E-05  9.72273E-03  1.13395E+02  7.20035E-05  9.60260E-03  1.11441E+02  7.03703E-05  9.74195E-03  1.08223E+02  6.96429E-05  9.73672E-03  9.56529E+00  4.56522E+00  3.80236E+00  9.55812E+00  4.57825E+00  3.80031E+00  9.54192E+00  4.59650E+00  3.79955E+00  9.54460E+00  4.61497E+00  3.80168E+00  9.57157E+00  4.58553E+00  3.80007E+00  9.59710E+00  4.53784E+00  3.80303E+00
000280   1.34510E+00  9.77759E+01  6.68510E-04  5.50781E-02  9.81685E+01  6.44587E-04  5.40734E-02  9.76607E+01  6.66878E-04  5.50853E-02  9.76548E+01  6.65687E-04  5.55864E-02  9.74643E+01  6.68428E-04  5.49159E-02  9.64897E+01  6.42703E-04  5.39133E-02  9.74372E+00  3.25204E+00  5.78523E+00  9.69196E+00  3.24653E+00  5.78750E+00  9.72812E+00  3.24341E+00  5.79574E+00  9.76107E+00  3.25227E+00  5.78478E+00  9.75481E+00  3.24939E+00  5.78672E+00  9.73206E+00  3.24539E+00  5.77867E+00
000282   1.74530E+00  8.64822E+01  1.12419E-01  4.32528E-01  8.44876E+01  1.13651E-01  4.37146E-01  8.54674E+01  1.13489E-01  4.33205E-01  8.73847E+01  1.12732E-01  4.28690E-01  8.65722E+01  1.12829E-01  4.32399E-01  8.45709E+01  1.12792E-01  4.37000E-01  9.78398E+00  6.60337E+00  6.37369E+00  9.82875E+00  6.60626E+00  6.38239E+00  9.81964E+00  6.60680E+00  6.37887E+00  9.81866E+00  6.59181E+00  6.35831E+00  9.79575E+00  6.60881E+00  6.37952E+00  9.77578E+00  6.60814E+00  6.38568E+00
000284   2.14550E+00  7.89125E+01  3.48197E-01  1.72596E+00  7.79911E+01  3.49205E-01  1.73085E+00  7.71653E+01  3.48712E-01  1.72435E+00  7.69149E+01  3.48411E-01  1.71656E+00  7.84908E+01  3.48124E-01  1.72266E+00  8.06549E+01  3.48386E-01  1.72924E+00  9.75582E+00  8.25010E+00  8.30541E+00  9.78003E+00  8.23929E+00  8.27865E+00  9.75186E+00  8.25017E+00  8.29836E+00  9.73673E+00  8.24531E+00  8.30353E+00  9.77652E+00  8.25015E+00  8.31260E+00  9.83051E+00  8.24084E+00  8.29766E+00
000286   2.54570E+00  1.00535E+02  4.92146E-01  5.09781E+00  1.02981E+02  4.96237E-01  5.17727E+00  1.01537E+02  4.94666E-01  5.13562E+00  9.88617E+01  4.92118E-01  5.07338E+00  1.00384E+02  4.93766E-01  5.12736E+00  1.02720E+02  4.95073E-01  5.16577E+00  1.00677E+01  9.29623E+00  1.14745E+01  1.00654E+01  9.30990E+00  1.14909E+01  1.00645E+01  9.30758E+00  1.14925E+01  1.00757E+01  9.28874E+00  1.14700E+01  1.01031E+01  9.30608E+00  1.15067E+01  1.01058E+01  9.30816E+00  1.15133E+01
000288   2.94590E+00  1.78590E+02  5.12982E-01  1.00149E+01  1.75511E+02  5.04896E-01  9.88720E+00  1.76947E+02  5.10880E-01  9.97748E+00  1.78894E+02  5.18194E-01  1.00513E+01  1.78089E+02  5.11271E-01  9.96044E+00  1.77032E+02  5.05432E-01  9.88156E+00  1.17788E+01  9.46797E+00  1.43376E+01  1.17952E+01  9.45156E+00  1.43143E+01  1.18014E+01  9.46362E+00  1.43465E+01  1.17927E+01  9.46575E+00  1.43631E+01  1.18065E+01  9.46422E+00  1.43667E+01  1.18206E+01  9.45678E+00  1.43363E+01
